date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:16:16	1627/1627	---M--	200	added ('OK')	text/plain	etag:%22129ed6a-65b-433eae4fd1e00%22	http://conf.agile-france.org/robots.txt		(from )
22:16:17	8312/8312	---MC-	200	added ('OK')	text/html	date:Mon,%2014%20Jan%202013%2021:16:15%20GMT	http://conf.agile-france.org/	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/index.html	(from )
22:16:18	8312/8312	---MC-	200	added ('OK')	text/html	date:Mon,%2014%20Jan%202013%2021:16:16%20GMT	http://conf.agile-france.org/front_page	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/front_page.html	(from )
22:16:19	17328/17328	---MC-	200	added ('OK')	text/html	date:Mon,%2014%20Jan%202013%2021:16:17%20GMT	http://conf.agile-france.org/inscriptions-et-tarif	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/inscriptions-et-tarif.html	(from )
22:16:25	110641/110641	---MC-	200	added ('OK')	text/html	date:Mon,%2014%20Jan%202013%2021:16:18%20GMT	http://conf.agile-france.org/programme	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/programme.html	(from )
22:16:25	13252/13252	---MC-	200	added ('OK')	text/html	date:Mon,%2014%20Jan%202013%2021:16:19%20GMT	http://conf.agile-france.org/sponsoring	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/sponsoring.html	(from )
22:16:26	14108/14108	---MC-	200	added ('OK')	text/html	date:Mon,%2014%20Jan%202013%2021:16:23%20GMT	http://conf.agile-france.org/lieu-et-acces	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/lieu-et-acces.html	(from )
22:16:29	85415/85415	---MC-	200	added ('OK')	text/html	date:Mon,%2014%20Jan%202013%2021:16:24%20GMT	http://conf.agile-france.org/temoignages	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/temoignages.html	(from )
22:16:30	16093/16093	---MC-	200	added ('OK')	text/html	date:Mon,%2014%20Jan%202013%2021:16:26%20GMT	http://conf.agile-france.org/conferences-precedentes	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/conferences-precedentes.html	(from )
22:16:32	15640/15640	---MC-	200	added ('OK')	text/html	date:Mon,%2014%20Jan%202013%2021:16:29%20GMT	http://conf.agile-france.org/appel-a-orateurs	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/appel-a-orateurs.html	(from )
22:16:32	17163/17163	---M--	200	added ('OK')	image/png	etag:%22129ed19-430b-45e909631f2c0%22	http://conf.agile-france.org/images/logo_230x104.png	C:/Mes%20Sites%20Web/conf-2009/conf.agile-france.org/images/logo_230x104.png	(from )
